FlowCell Text Data File: 230207_sample5.csv
Software Version: 2.00Q
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.207
Date: 2023-02-07
Time: 17:27:02
User: Riyaz Shah

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 38 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2.0
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 10
Distance/fraction: 7.83 mm
Start Distance: 0.00 mm
Volume/fraction: 1.117 ml
Data Samples/mm: 22.94

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 218 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 466075
Source A Zero: 105609.6

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
450125.143, 100957.738, -0.21, -0.023018, , 
450921.929, 101013.190, -0.17, -0.025762, , 
451372.167, 100971.667, -0.13, -0.028933, , 
450699.667, 101001.214, -0.09, -0.024920, , 
397347.214, 100986.214, -0.04, 0.258280, , 
450699.667, 101001.214, 0.00, -0.024920, , 
397347.214, 100986.214, 0.04, 0.258280, , 
416520.929, 100879.619, 0.08, 0.149849, , 
441392.048, 100753.286, 0.12, 0.016511, , 
448080.190, 100961.667, 0.16, -0.012683, , 
450687.071, 100894.095, 0.21, -0.027245, , 
450236.667, 100945.000, 0.25, -0.023859, , 
250243.000, 100885.214, 0.29, 1.296580, , 
431083.405, 100969.786, 0.33, 0.074523, , 
384091.167, 100957.167, 0.37, 0.333991, , 
421428.262, 100928.976, 0.42, 0.124591, , 
429402.857, 100873.095, 0.46, 0.081158, , 
448153.357, 100829.357, 0.50, -0.016002, , 
447732.262, 100873.310, 0.54, -0.012905, , 
448073.143, 100960.714, 0.59, -0.012669, , 
449073.429, 101049.952, 0.63, -0.015699, , 
450535.929, 101210.595, 0.67, -0.019441, , 
451666.738, 101128.310, 0.71, -0.026913, , 
452652.071, 101119.357, 0.76, -0.032016, , 
451041.024, 101125.500, 0.80, -0.023856, , 
231771.405, 101036.738, 0.84, 1.472523, , 
466395.238, 101012.571, 0.88, -0.101704, , 
433334.405, 100972.881, 0.93, 0.062872, , 
409406.810, 101087.548, 0.97, 0.193252, , 
430081.524, 101053.976, 1.01, 0.081635, , 
449172.452, 101056.833, 1.05, -0.016042, , 
449666.548, 101062.786, 1.09, -0.018384, , 
447873.333, 101018.500, 1.14, -0.010378, , 
448581.500, 101029.310, 1.18, -0.013692, , 
449300.095, 101041.548, 1.22, -0.017022, , 
450519.405, 101118.048, 1.26, -0.021418, , 
451670.833, 100999.976, 1.30, -0.029791, , 
453763.024, 101026.905, 1.35, -0.039591, , 
452962.405, 101060.286, 1.39, -0.034874, , 
454354.762, 101065.095, 1.43, -0.041674, , 
436228.690, 101051.952, 1.47, 0.049653, , 
235825.095, 101035.548, 1.52, 1.433477, , 
475585.405, 100980.643, 1.56, -0.146328, , 
464830.381, 101003.976, 1.60, -0.094332, , 
383581.738, 101035.476, 1.64, 0.338723, , 
382192.238, 101104.667, 1.68, 0.348430, , 
396271.619, 101041.952, 1.73, 0.265622, , 
381084.286, 101045.214, 1.77, 0.353640, , 
279601.405, 101044.143, 1.81, 1.050476, , 
283649.119, 101009.833, 1.85, 1.017366, , 
284592.619, 100930.405, 1.90, 1.008123, , 
285613.690, 101024.119, 1.94, 1.002152, , 
285088.690, 100926.333, 1.98, 1.004113, , 
284528.381, 100940.476, 2.02, 1.008855, , 
284154.214, 100973.619, 2.07, 1.012555, , 
284363.214, 100966.024, 2.11, 1.010732, , 
285110.238, 100925.405, 2.15, 1.003922, , 
286617.357, 100935.857, 2.19, 0.992290, , 
285412.333, 100954.190, 2.23, 1.002180, , 
283583.214, 100950.071, 2.28, 1.016557, , 
282089.833, 100989.190, 2.32, 1.029312, , 
280306.071, 101006.690, 2.36, 1.043977, , 
278856.024, 100886.881, 2.40, 1.052978, , 
280972.167, 100895.000, 2.45, 1.036146, , 
283433.286, 100935.762, 2.49, 1.017428, , 
286589.738, 100904.071, 2.53, 0.991798, , 
286256.810, 100929.810, 2.57, 0.994988, , 
285507.095, 100974.857, 2.61, 1.001894, , 
286513.762, 100954.524, 2.66, 0.993520, , 
288113.643, 100902.119, 2.70, 0.979820, , 
285976.381, 100925.976, 2.74, 0.997108, , 
279058.190, 100958.881, 2.78, 1.052953, , 
278443.810, 100884.262, 2.82, 1.056249, , 
274429.476, 100860.048, 2.87, 1.088389, , 
273768.690, 100931.929, 2.91, 1.095418, , 
288833.071, 100989.905, 2.95, 0.976165, , 
294989.548, 100962.881, 2.99, 0.928099, , 
286960.714, 101010.452, 3.04, 0.991258, , 
283761.857, 100996.262, 3.08, 1.016170, , 
280569.095, 100933.071, 3.12, 1.040226, , 
274802.643, 100994.000, 3.16, 1.088318, , 
270818.929, 100980.048, 3.20, 1.120870, , 
268949.262, 100970.286, 3.25, 1.136242, , 
268380.048, 101043.429, 3.29, 1.142640, , 
276429.262, 100969.000, 3.33, 1.074479, , 
297618.095, 100945.762, 3.37, 0.907753, , 
304757.714, 100891.690, 3.42, 0.853198, , 
308103.357, 100735.119, 3.46, 0.825132, , 
319241.238, 100648.071, 3.50, 0.743270, , 
333685.429, 100629.476, 3.54, 0.643269, , 
328229.429, 100648.381, 3.58, 0.680792, , 
304231.500, 100643.048, 3.63, 0.851535, , 
282169.762, 100652.000, 3.67, 1.021148, , 
